name,sales,bidirectional,place_unlimit,time_unlimit,repeat_consm,purpose,rate,
주요 3사,3279613,0,0,0,0,0,0.01200,
지역방송,492188,0,0,0,0,0,0.01000,
교육방송,191955,0,0,0,0,0,0.00350,
"종교방송, 지역라디오",87963,0,0,0,0,0,0.01200,
교통방송,10884,0,0,0,0,0,0.01350,
극동방송,2486,0,0,0,0,0,0.00700,
국군방송,0,0,0,0,0,0,0.01000,
외국어라디오방송,0,0,0,0,0,0,0.01350,얘는 아리랑인데 아리랑TV랑 아리랑라디오가 같이 잡혀서 매출 산정이 안됨
국악방송,7267,0,0,0,0,1,0.00700,
YTN라디오,6014,0,0,0,0,0,0.00600,
홈쇼핑 PP,4719138,0,0,0,0,0,0.02500,
음악 PP,4803,0,0,0,0,1,0.04000,
"음악,버라이어티 PP",1814,0,0,0,0,1,0.02300,
오락 PP,1067209,0,0,0,0,0,0.01100,
"교양,종교 PP",34300,0,0,0,0,0,0.01000,
스포츠 PP,197281,0,0,0,0,0,0.00600,
보도 PP,324192,0,0,0,0,0,0.00500,
기타 PP,153015,0,0,0,0,0,0.00350,
SO,1803720,1,0,0,1,0,0.00500,
위성방송,505877,0,0,0,0,0,0.01000,
IPTV,4894536,1,0,0,1,0,0.01200,
지상파 DMB,4890,0,1,0,0,0,0.01000,
이동방송서비스,0,0,0,0,0,0,0.00100,
주문형스트리밍서비스,403885,1,1,1,1,1,0.10500,"₩403,884,940,087"
주문형 다운로드 서비스,15571,1,1,1,1,1,0.11000,"₩15,571,140,956"
주문형 배경음악 서비스,0,1,1,1,1,1,0.05000,
영상물 전송서비스 - 음악저작물,0,1,1,1,1,1,0.03000,
영상물 전송서비스 - 그냥,0,1,1,1,1,0,0.01500,
방송물 재전송서비스 (유료 혹은 광고붙으면),0,1,1,1,1,0,0.01500,
전화를 이용한 서비스,0,1,1,1,1,1,0.09000,
"웹캐스팅 (방송사업자 동시방송, 개인방송) - 음악이 주",0,1,1,1,0,1,0.02500,
웹캐스팅 (매장음악서비스) - 음악 중요,0,1,0,1,0,1,0.04000,
"웹캐스팅 (방송사업자 동시방송, 개인방송) - 음악 안중요",0,1,1,1,0,0,0.01250,
웹캐스팅 (매장음악서비스) - 음악 안중요,0,1,0,1,0,0,0.02000,
